"HT Wa 1020","HT Wa 1020γ","HT","Wa","1020.0","4"
"HT Wa 1021","HT Wa 1021α","HT","Wa","1021.0","3"
"HT Wa 1021","HT Wa 1021β","HT","Wa","1021.0","3"
"HT Wa 1021","HT Wa 1021γ","HT","Wa","1021.0","3"
"HT Wa 1021","HT Wa <1021bis>","HT","Wa","1021.0","2"
"HT Wa 1022","HT Wa 1022","HT","Wa","1022.0","2"
"HT Wa 1024","HT Wa 1024","HT","Wa","1024.0","2"
"HT Wa 1025","HT Wa 1025α","HT","Wa","1025.0","2"
"HT Wa 1025","HT Wa 1025γ","HT","Wa","1025.0","2"
"HT Wa 1028","HT Wa 1028α","HT","Wa","1028.0","2"
"HT Wa 1028","HT Wa 1028γ","HT","Wa","1028.0","2"
"HT Wa 1029","HT Wa 1029α","HT","Wa","1029.0","2"
"HT Wa 1029","HT Wa 1029γ","HT","Wa","1029.0","2"
"HT Wa 1031","HT Wa 1031","HT","Wa","1031.0","2"
"HT Wa 1032","HT Wa 1032","HT","Wa","1032.0","2"
"HT Wa 1049","HT Wa 1049","HT","Wa","1049.0","1"
"HT Wa 1128","HT Wa 1128","HT","Wa","1128.0","2"
"HT Wa 1147","HT Wa 1147","HT","Wa","1147.0","2"
"HT Wa 1148","HT Wa 1148","HT","Wa","1148.0","2"
"HT Wa 1150","HT Wa 1150","HT","Wa","1150.0","2"
"HT Wa 1170","HT Wa 1170","HT","Wa","1170.0","2"
"HT Wa 1172","HT Wa 1172","HT","Wa","1172.0","1"
"HT Wa 1176","HT Wa 1176","HT","Wa","1176.0","2"
"HT Wa 1199","HT Wa 1199","HT","Wa","1199.0","2"
"HT Wa 1205","HT Wa 1205","HT","Wa","1205.0","2"
"HT Wa 1206","HT Wa 1206","HT","Wa","1206.0","2"
"HT Wa 1236","HT Wa 1236","HT","Wa","1236.0","2"
"HT Wa 1242","HT Wa 1242","HT","Wa","1242.0","2"
"HT Wa 1244","HT Wa 1244","HT","Wa","1244.0","2"
"HT Wa 1252","HT Wa 1252","HT","Wa","1252.0","2"
"HT Wa 1255","HT Wa 1255","HT","Wa","1255.0","2"
"HT Wa 1256","HT Wa 1256","HT","Wa","1256.0","2"
"HT Wa 1268","HT Wa 1268","HT","Wa","1268.0","2"
"HT Wa 1278","HT Wa 1278","HT","Wa","1278.0","2"
"HT Wa 1279","HT Wa 1279","HT","Wa","1279.0","2"
"HT Wa 1280","HT Wa 1280","HT","Wa","1280.0","2"
"HT Wa 1281","HT Wa 1281","HT","Wa","1281.0","2"
"HT Wa 1282","HT Wa 1282","HT","Wa","1282.0","2"
"HT Wa 1283","HT Wa 1283","HT","Wa","1283.0","2"
"HT Wa 1287","HT Wa 1287","HT","Wa","1287.0","2"
"HT Wa 1292","HT Wa 1292","HT","Wa","1292.0","2"
"HT Wa 1293","HT Wa 1293","HT","Wa","1293.0","2"
"HT Wa 1294","HT Wa 1294","HT","Wa","1294.0","2"
"HT Wa 1295","HT Wa 1295","HT","Wa","1295.0","2"
"HT Wa 1298","HT Wa 1298","HT","Wa","1298.0","2"
"HT Wa 1303","HT Wa 1303","HT","Wa","1303.0","2"
"HT Wa 1305","HT Wa 1305","HT","Wa","1305.0","2"
"HT Wa 1307","HT Wa 1307","HT","Wa","1307.0","2"
"HT Wa 1308","HT Wa 1308","HT","Wa","1308.0","2"
"HT Wa 1317","HT Wa 1317","HT","Wa","1317.0","2"
"HT Wa 1319","HT Wa 1319","HT","Wa","1319.0","2"
"HT Wa 1323","HT Wa 1323","HT","Wa","1323.0","2"
"HT Wa 1324","HT Wa 1324","HT","Wa","1324.0","2"
"HT Wa 1451","HT Wa 1451","HT","Wa","1451.0","2"
"HT Wa 1471","HT Wa 1471","HT","Wa","1471.0","2"
"HT Wa 1472","HT Wa 1472","HT","Wa","1472.0","2"
"HT Wa 1473","HT Wa 1473","HT","Wa","1473.0","2"
"HT Wa 1474","HT Wa 1474","HT","Wa","1474.0","2"
"HT Wa 1481","HT Wa 1481","HT","Wa","1481.0","2"
"HT Wa 1490","HT Wa 1490","HT","Wa","1490.0","2"
"HT Wa 1508","HT Wa 1508","HT","Wa","1508.0","2"
"HT Wa 1512","HT Wa 1512","HT","Wa","1512.0","2"
"HT Wa 1518","HT Wa 1518","HT","Wa","1518.0","2"
"HT Wa 1530","HT Wa 1530","HT","Wa","1530.0","2"
"HT Wa 1531","HT Wa 1531","HT","Wa","1531.0","2"
"HT Wa 1533","HT Wa 1533","HT","Wa","1533.0","2"
"HT Wa 1538","HT Wa 1538","HT","Wa","1538.0","2"
"HT Wa 1544","HT Wa 1544","HT","Wa","1544.0","2"
"HT Wa 1547","HT Wa 1547","HT","Wa","1547.0","2"
"HT Wa 1550","HT Wa 1550","HT","Wa","1550.0","2"
"HT Wa 1559","HT Wa 1559","HT","Wa","1559.0","2"
"HT Wa 1561","HT Wa 1561","HT","Wa","1561.0","2"
"HT Wa 1562","HT Wa 1562","HT","Wa","1562.0","2"
"HT Wa 1579","HT Wa 1579","HT","Wa","1579.0","2"
"HT Wa 1584","HT Wa 1584","HT","Wa","1584.0","2"
"HT Wa 1587","HT Wa 1587","HT","Wa","1587.0","2"
"HT Wa 1590","HT Wa 1590","HT","Wa","1590.0","2"
"HT Wa 1592","HT Wa 1592","HT","Wa","1592.0","2"
"HT Wa 1598","HT Wa 1598","HT","Wa","1598.0","2"
